"name","logoUrl","available","quantityAvailable","rating","ratingCount","savings"
"1-800Flowers.com","https://raise-content.s3.amazonaws.com/MP-OPs/1800+Flowers/1800Flowers-Logo.png",true,202,"3.7",204,"15.06"
"Abercrombie & Fitch","https://s3.amazonaws.com/raise-content/ibi/Abercrombie&Fitch-Logo.png",true,66,"4.3",212,"18.00"
"adidas","https://s3.amazonaws.com/raise-content/ibi/adidas-logo-black-white.png",true,1867,"4.8",117,"10.37"
"Advance Auto Parts","https://raise-content.s3.amazonaws.com/MP-OPs/AdvanceAuto/AdvanceAuto-Logo.png",true,2,"3.0",302,"5.00"
"Aeropostale","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Aeropostale/RAISE_Aeropostale-Logo.png",true,361,"3.8",232,"19.56"
"Airbnb","https://raise-content.s3.amazonaws.com/MP-OPs/Airbnb/Airbnb-Logo.png",true,45,"3.4",317,"2.50"
"Aldi","https://s3.amazonaws.com/raise-content/ibi/ALDI-Logo.png",false,0,"3.1",340,"0.00"
"Amazon.com","https://raise-content.s3.amazonaws.com/MP-OPs/Amazon/Amazon-Logo.png",true,303,"3.9",2777,"1.05"
"AMC Theatres","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/AMC/RAISE_AMC-Logo.png",true,253,"3.9",922,"6.60"
"AMC Theatres (In Theatre Only)","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/AMC/RAISE_AMC-Logo.png",false,0,"3.6",302,"0.00"
"American Airlines","https://raise-content.s3.amazonaws.com/MP-OPs/American+Airlines/AmericanAirlines-Logo.png",true,26,"3.2",492,"0.80"
"American Apparel","https://s3.amazonaws.com/raise-content/ibi/AmericanApparel-Logo.png",false,0,"4.2",118,"0.00"
"American Eagle®","https://raise-content.s3.amazonaws.com/MP-OPs/aeo_icon1.png",true,230,"3.9",637,"15.10"
"American Girl","https://s3.amazonaws.com/raise-content/ibi/AmericanGirl-Logo.png",false,0,"3.1",144,"0.00"
"Ann Taylor","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Ann+Taylor/RAISE_AnnTaylor-Logo.png",true,7,"3.5",114,"0.00"
"Ann Taylor (In Store Only)","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Ann+Taylor/RAISE_AnnTaylor-Logo.png",true,1,"3.0",493,"0.00"
"Anthropologie","https://s3.amazonaws.com/raise-content/ibi/Anthropologie-Logo.png",true,12,"3.0",1311,"5.00"
"Apple Gift Card","https://raise-content.s3.amazonaws.com/MP-OPs/Apple+Gift+Card/Apple-Logo.png",true,643,"3.8",870,"1.06"
"Applebee's®","https://raise-content.s3.amazonaws.com/MP-OPs/Applebee's/Applebees-Logo.png",true,1359,"3.4",876,"14.36"
"AutoZone (In Store Only)","https://raise-content.s3.amazonaws.com/MP-OPs/AutoZone/AutoZone-Logo.png",false,0,"3.3",478,"0.00"
