"extId","name","logoUrl","available","quantityAvailable","rating","ratingCount","cashback","savings","soldLastDay"
"1-800flowers-com","1-800Flowers.com","https://raise-content.s3.amazonaws.com/MP-OPs/1800+Flowers/1800Flowers-Logo.png",true,198,"3.7",204,,"15.06",8
"abercrombie-fitch","Abercrombie & Fitch","https://s3.amazonaws.com/raise-content/ibi/Abercrombie&Fitch-Logo.png",true,68,"4.3",212,,"18.95",0
"adidas","adidas","https://s3.amazonaws.com/raise-content/ibi/adidas-logo-black-white.png",true,1856,"4.8",117,,"10.26",57
"advance-auto-parts","Advance Auto Parts","https://raise-content.s3.amazonaws.com/MP-OPs/AdvanceAuto/AdvanceAuto-Logo.png",false,0,"3.0",302,,"0.00",1
"aeropostale","Aeropostale","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Aeropostale/RAISE_Aeropostale-Logo.png",true,399,"3.8",232,,"19.32",7
"airbnb","Airbnb","https://raise-content.s3.amazonaws.com/MP-OPs/Airbnb/Airbnb-Logo.png",true,50,"3.4",317,,"2.50",39
"aldi","Aldi","https://s3.amazonaws.com/raise-content/ibi/ALDI-Logo.png",false,0,"3.1",340,,"0.00",0
"amazon-com","Amazon.com","https://raise-content.s3.amazonaws.com/MP-OPs/Amazon/Amazon-Logo.png",true,257,"3.9",2777,,"1.05",33
"amc-theatres-in-theatre-only","AMC Theatres (In Theatre Only)","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/AMC/RAISE_AMC-Logo.png",false,0,"3.6",302,,"0.00",0
"american-airlines","American Airlines","https://raise-content.s3.amazonaws.com/MP-OPs/American+Airlines/AmericanAirlines-Logo.png",true,19,"3.2",492,,"0.02",13
"american-apparel","American Apparel","https://s3.amazonaws.com/raise-content/ibi/AmericanApparel-Logo.png",false,0,"4.2",118,,"0.00",0
"amc-theatres","AMC Theatres","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/AMC/RAISE_AMC-Logo.png",true,701,"3.9",922,,"6.80",21
"american-eagle","American Eagle®","https://raise-content.s3.amazonaws.com/MP-OPs/aeo_icon1.png",true,229,"3.9",637,,"18.20",9
"american-girl","American Girl","https://s3.amazonaws.com/raise-content/ibi/AmericanGirl-Logo.png",false,0,"3.1",144,,"0.00",0
"ann-taylor","Ann Taylor","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Ann+Taylor/RAISE_AnnTaylor-Logo.png",true,7,"3.5",114,,"0.00",1
"ann-taylor-in-store-only","Ann Taylor (In Store Only)","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Ann+Taylor/RAISE_AnnTaylor-Logo.png",true,1,"3.0",493,,"0.00",0
"anthropologie","Anthropologie","https://s3.amazonaws.com/raise-content/ibi/Anthropologie-Logo.png",true,11,"3.0",1311,,"6.00",1
"apple-gift-card","Apple Gift Card","https://raise-content.s3.amazonaws.com/MP-OPs/Apple+Gift+Card/Apple-Logo.png",true,610,"3.8",870,,"1.06",33
"applebee-s","Applebee's®","https://raise-content.s3.amazonaws.com/MP-OPs/Applebee's/Applebees-Logo.png",true,1323,"3.4",876,,"14.20",24
